,name,top1,top5
152,"(4,6,7)",0.68324,0.88158
153,"(3,5,13)",0.68284,0.88208
154,"(5,9,10)",0.6839,0.88188
155,"(1,3,9)",0.67592,0.87566
156,"(3,5,7)",0.683,0.88192
157,"(6,12,13)",0.68386,0.88154
158,"(8,9,13)",0.68364,0.88252
159,"(5,6,9)",0.68472,0.8825
160,"(0,1,10)",0.6761,0.87692
161,"(0,10,12)",0.68278,0.88092
162,"(7,9,12)",0.68396,0.88196
163,"(2,3,9)",0.68328,0.88202
164,"(0,2,7)",0.68404,0.88164
165,"(3,7,11)",0.6834,0.88202
166,"(1,2,11)",0.6777,0.87668
167,"(8,9,10)",0.68394,0.8818
168,"(9,12,13)",0.68418,0.88186
169,"(4,5,6)",0.68358,0.88204
170,"(6,9,11)",0.68428,0.8824
171,"(3,4,5)",0.68328,0.8819
172,"(3,11,13)",0.68344,0.88182
173,"(5,11,13)",0.68352,0.8824
174,"(1,4,9)",0.67688,0.87582
175,"(3,10,11)",0.68272,0.88144
176,"(2,4,12)",0.68332,0.88144
177,"(0,6,8)",0.68334,0.8824
178,"(2,5,9)",0.68416,0.88244
179,"(7,10,11)",0.68332,0.88162
180,"(2,11,13)",0.68408,0.8819
181,"(2,5,8)",0.68408,0.88258
182,"(1,4,5)",0.67738,0.87664
183,"(4,6,10)",0.68354,0.8814
184,"(0,4,6)",0.6833,0.88208
185,"(3,9,13)",0.68274,0.88166
186,"(0,5,8)",0.68356,0.88286
187,"(2,7,13)",0.68334,0.88194
188,"(3,9,12)",0.68294,0.88178
189,"(6,7,10)",0.68346,0.88126
190,"(1,2,12)",0.67668,0.8772
191,"(0,5,11)",0.68424,0.8829
192,"(1,8,9)",0.6777,0.87658
193,"(0,3,8)",0.68316,0.88228
194,"(1,4,7)",0.67612,0.8762
195,"(1,5,9)",0.67798,0.87742
196,"(5,6,11)",0.68406,0.8831
197,"(6,7,9)",0.68336,0.88218
198,"(5,9,11)",0.68468,0.88258
199,"(5,7,11)",0.68398,0.88274
200,"(2,3,10)",0.68288,0.88118
201,"(6,8,13)",0.68304,0.88236
202,"(2,4,8)",0.6834,0.88214
203,"(4,8,11)",0.68396,0.88258
204,"(5,8,9)",0.68414,0.8822
205,"(11,12,13)",0.68424,0.88186
206,"(2,6,8)",0.68408,0.88222
207,"(2,12,13)",0.68396,0.88136
208,"(3,8,12)",0.68312,0.88182
209,"(0,8,9)",0.68364,0.8825
210,"(8,10,13)",0.68284,0.88174
211,"(0,11,12)",0.68378,0.88222
212,"(0,12,13)",0.6831,0.8821
213,"(2,10,11)",0.68366,0.88158
214,"(0,1,2)",0.6767,0.87694
215,"(0,2,3)",0.6836,0.88154
216,"(1,6,11)",0.67728,0.87706
217,"(4,6,13)",0.68328,0.88176
218,"(2,3,11)",0.68376,0.8817
219,"(7,12,13)",0.68348,0.88126
220,"(1,12,13)",0.6765,0.87608
221,"(8,9,12)",0.68428,0.88216
222,"(0,1,12)",0.67694,0.87668
223,"(1,4,8)",0.67674,0.87638
224,"(3,6,13)",0.68282,0.8819
225,"(4,11,13)",0.68362,0.88266
226,"(0,4,13)",0.68256,0.88214
227,"(9,10,13)",0.68356,0.88144
228,"(0,1,8)",0.67726,0.87708
229,"(7,8,11)",0.68436,0.88268
230,"(0,4,9)",0.68322,0.8822
231,"(5,10,11)",0.68348,0.8822
232,"(6,7,13)",0.68342,0.88206
233,"(0,2,6)",0.68392,0.88164
234,"(0,7,11)",0.68326,0.88226
235,"(1,6,12)",0.67686,0.8768
236,"(1,11,12)",0.67698,0.8768
237,"(2,7,11)",0.6838,0.8819
238,"(2,3,6)",0.68326,0.88176
239,"(3,4,12)",0.68286,0.88152
240,"(0,1,13)",0.67614,0.87716
241,"(4,5,8)",0.68322,0.88236
242,"(2,5,10)",0.68352,0.88178
243,"(0,6,7)",0.68304,0.88226
244,"(1,8,12)",0.67722,0.87666
245,"(7,8,13)",0.68358,0.88202
246,"(5,7,12)",0.68406,0.882
247,"(8,10,11)",0.6835,0.88196
248,"(4,10,11)",0.6831,0.88158
249,"(3,6,8)",0.68286,0.88186
250,"(0,4,12)",0.68302,0.88206
251,"(2,8,12)",0.68442,0.88184
252,"(0,2,4)",0.68372,0.88138
253,"(2,7,8)",0.6839,0.88234
254,"(0,10,13)",0.68278,0.88164
255,"(0,5,6)",0.68344,0.88276
256,"(1,9,10)",0.6775,0.87636
257,"(0,5,9)",0.6836,0.8828
258,"(1,4,13)",0.6757,0.8768
259,"(4,6,12)",0.68402,0.8815
260,"(4,9,13)",0.68328,0.88174
261,"(2,6,13)",0.68346,0.88168
262,"(0,3,13)",0.6824,0.8826
263,"(0,3,7)",0.6821,0.8821
264,"(4,5,13)",0.68368,0.88148
265,"(0,4,11)",0.68358,0.88306
266,"(8,10,12)",0.68294,0.88106
267,"(3,9,11)",0.68346,0.88208
268,"(2,5,12)",0.6837,0.88168
269,"(1,3,11)",0.67582,0.8765
270,"(4,6,11)",0.68336,0.88244
271,"(2,10,13)",0.68306,0.88108
272,"(5,10,12)",0.6835,0.88136
273,"(4,7,10)",0.68294,0.88092
274,"(0,4,10)",0.68294,0.88208
275,"(8,11,12)",0.68376,0.88262
276,"(4,10,13)",0.68292,0.88144
277,"(5,7,10)",0.68336,0.88164
278,"(7,10,13)",0.6828,0.88082
279,"(5,9,12)",0.68502,0.88208
280,"(3,4,7)",0.68264,0.8816
281,"(2,6,11)",0.68416,0.88164
282,"(1,8,11)",0.67754,0.8769
283,"(0,8,11)",0.68332,0.8828
284,"(8,11,13)",0.68378,0.88268
285,"(1,5,10)",0.67722,0.87716
286,"(2,4,5)",0.68342,0.8815
287,"(2,5,13)",0.68398,0.88226
288,"(2,7,12)",0.68306,0.8812
289,"(1,3,13)",0.67586,0.8762
