,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
34,LEAKY_RELU,443,1478656.0,0.012767371,-0.0073647397,0.02852556,0.00021726149,0.047688697,-99,model_1/leaky_17/LeakyRelu,12.160617735,0.3090835704608178
35,ADD,447,1478656.0,0.022769807,-0.0050635147,0.038145993,0.00054479844,0.07527431,-103,model_1/add_5/add,19.194949049999998,0.31007813581747895
36,CONV_2D,451,739328.0,0.030795416,0.00031197374,0.16352311,0.0009485798,0.093986735,13,model_1/bnorm_19/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_19/Conv2D,23.966617425,0.3276954211864896
37,LEAKY_RELU,455,739328.0,0.012397878,-0.00580908,0.029416678,0.00018750309,0.04712899,-100,model_1/leaky_19/LeakyRelu,12.017892450000002,0.2905467901606026
38,CONV_2D,459,1478656.0,0.032825135,2.8497978e-05,0.15548527,0.0010775144,0.11296755,4,model_1/bnorm_20/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_20/Conv2D,28.80672525,0.29057472226888353
39,LEAKY_RELU,463,1478656.0,0.017007666,-0.0025754953,0.035450123,0.00029602295,0.06035469,-103,model_1/leaky_20/LeakyRelu,15.39044595,0.28507009963906454
40,ADD,467,1478656.0,0.022462646,-0.0033179577,0.044326805,0.0005159128,0.07843958,-103,model_1/add_6/add,20.002092899999997,0.28956955046327687
41,CONV_2D,471,739328.0,0.033983316,-0.00025878748,0.13750339,0.0011549953,0.10800137,1,model_1/bnorm_22/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_22/Conv2D,27.54034935,0.3146739878234958
42,LEAKY_RELU,475,739328.0,0.01796103,-0.0021954586,0.03630167,0.00032809132,0.05890113,-104,model_1/leaky_22/LeakyRelu,15.01978815,0.3075202674814246
43,CONV_2D,479,1478656.0,0.02907166,-0.0009545816,0.12565097,0.00084609626,0.09891884,3,model_1/bnorm_23/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_23/Conv2D,25.2243042,0.2940565603166851
44,LEAKY_RELU,483,1478656.0,0.015365389,-0.0036189365,0.03281686,0.00024925137,0.053220645,-104,model_1/leaky_23/LeakyRelu,13.571264475,0.29664610025155946
45,ADD,487,1478656.0,0.022144582,-0.0029369954,0.039611995,0.0004995114,0.07897594,-99,model_1/add_7/add,20.1388647,0.2829944369952777
46,CONV_2D,491,739328.0,0.03173102,-0.00064780144,0.159865,0.0010073533,0.10106735,5,model_1/bnorm_25/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_25/Conv2D,25.77217425,0.3140364275013982
47,LEAKY_RELU,495,739328.0,0.01640863,-0.0045532,0.03347267,0.0002900722,0.053686135,-103,model_1/leaky_25/LeakyRelu,13.689964425000001,0.317242172471383
48,CONV_2D,499,1478656.0,0.035310123,-0.00043131397,0.14735067,0.0012470278,0.11964042,1,model_1/bnorm_26/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_26/Conv2D,30.5083071,0.2951617922089228
49,LEAKY_RELU,503,1478656.0,0.018964143,-0.004958828,0.039829426,0.0003843873,0.064982705,-104,model_1/leaky_26/LeakyRelu,16.570589775000002,0.3017079330866731
50,ADD,507,1478656.0,0.031873297,0.0021822935,0.056115277,0.0010206938,0.11072565,-104,model_1/add_8/add,28.23504075,0.2885356632293485
51,CONV_2D,511,739328.0,0.033464372,-0.0010352535,0.14127345,0.0011209929,0.11004209,-5,model_1/bnorm_28/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_28/Conv2D,28.06073295,0.3042584165402834
52,LEAKY_RELU,515,739328.0,0.018790705,-0.0029464269,0.037334155,0.00036212816,0.062410004,-106,model_1/leaky_28/LeakyRelu,15.91455102,0.304913700412941
53,CONV_2D,519,1478656.0,0.051242705,0.00013595186,0.19476268,0.0026258624,0.17514822,-19,model_1/bnorm_29/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_29/Conv2D,44.6627961,0.292570311596048
54,LEAKY_RELU,523,1478656.0,0.03344209,-0.009661238,0.06530355,0.0012118611,0.10762865,-110,model_1/leaky_29/LeakyRelu,27.445305750000003,0.3234435758022873
55,ADD,527,1478656.0,0.037434142,0.0008428642,0.0649684,0.0014021313,0.13002467,-103,model_1/add_9/add,33.156290850000005,0.2879841473989485
56,CONV_2D,531,739328.0,0.037157517,-0.00014105934,0.13170843,0.0013807339,0.12481827,-30,model_1/bnorm_31/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_31/Conv2D,31.82865885,0.29769862930328117
57,LEAKY_RELU,535,739328.0,0.024754098,-0.0021576278,0.049703196,0.00061766035,0.08180646,-113,model_1/leaky_31/LeakyRelu,20.8606473,0.30379964476005755
58,CONV_2D,539,1478656.0,0.05205431,0.00018592668,0.24923088,0.002709796,0.17598952,-15,model_1/bnorm_32/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_32/Conv2D,44.8773276,0.2957886409178962
59,LEAKY_RELU,543,1478656.0,0.030969003,-0.007145602,0.052965764,0.0010101966,0.10550491,-109,model_1/leaky_32/LeakyRelu,26.903752049999998,0.3012522365602464
60,ADD,547,1478656.0,0.042028423,0.002472094,0.08018056,0.0017726711,0.14329657,-103,model_1/add_10/add,36.540625350000006,0.29381792485280134
61,CONV_2D,551,739328.0,0.040885817,0.000539201,0.13605174,0.0016719794,0.13847037,-18,model_1/bnorm_34/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_34/Conv2D,35.30994435,0.295296710083262
62,LEAKY_RELU,555,739328.0,0.025275266,-0.0037740571,0.05232452,0.00065379165,0.084877156,-110,model_1/leaky_34/LeakyRelu,21.643674779999998,0.3012512555880901
63,CONV_2D,559,1478656.0,0.077697866,0.00090930134,0.2746821,0.00603782,0.2730239,-12,model_1/bnorm_35/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_35/Conv2D,69.6210945,0.28460296142045677
64,LEAKY_RELU,563,1478656.0,0.049353585,-0.002869656,0.098426186,0.002444719,0.16111664,-108,model_1/leaky_35/LeakyRelu,41.0847432,0.3068838808276452
65,ADD,567,1478656.0,0.053342793,0.0003307281,0.097797446,0.0028458408,0.18415271,-103,model_1/add_11/add,46.95894105,0.2896857861090826
66,PAD,571,1517824.0,0.0,0.0,0.0,0.0,0.18415271,-103,model_1/zero_padding2d_4/Pad,46.95894105,0.0
67,CONV_2D,575,739328.0,0.04339155,-0.0001708493,0.14685333,0.0018828762,0.14739485,-29,model_1/bnorm_37/FusedBatchNormV3;model_1/conv_92/Conv2D;model_1/conv_37/Conv2D,37.58568675,0.29439374173994154
68,LEAKY_RELU,579,739328.0,0.029446647,-0.007537376,0.059102274,0.00092415046,0.09582105,-113,model_1/leaky_37/LeakyRelu,24.43436775,0.31725641799688403
69,CONV_2D,583,369664.0,0.034098312,0.0003242648,0.16554672,0.0011628976,0.112580016,-5,model_1/bnorm_38/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_38/Conv2D,28.707904080000002,0.30290708462226407
70,LEAKY_RELU,587,369664.0,0.01889772,-0.0022030983,0.039137628,0.0003621508,0.06360661,-106,model_1/leaky_38/LeakyRelu,16.219685549999998,0.2991868315860449
71,CONV_2D,591,739328.0,0.023105612,0.0011681088,0.089487515,0.0005352451,0.078062445,7,model_1/bnorm_39/FusedBatchNormV3;model_1/conv_92/Conv2D;model_1/conv_39/Conv2D,19.905923474999998,0.2963699728375025
72,LEAKY_RELU,595,739328.0,0.011956201,0.00011180431,0.025260571,0.00014297056,0.04083586,-102,model_1/leaky_39/LeakyRelu,10.4131443,0.2928070997280588
73,ADD,599,739328.0,0.029313106,0.017436149,0.048398018,0.0011640001,0.096816085,-110,model_1/add_12/add,24.688101675,0.3523943948362494
