,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
55,ADD,527,1478656.0,0.034481127,1.4648931e-05,0.059974894,0.0011890187,0.11998525,-100,model_1/add_9/add,30.59623875,0.28738657839177545
56,CONV_2D,531,739328.0,0.027407538,-0.00013088959,0.16097693,0.00075124623,0.089690804,-1,model_1/bnorm_31/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_31/Conv2D,22.87115502,0.3055928830124466
57,LEAKY_RELU,535,739328.0,0.014521958,-0.002650225,0.028867245,0.00021794453,0.049460437,-105,model_1/leaky_31/LeakyRelu,12.612411435,0.29847986360286344
58,CONV_2D,539,1478656.0,0.053399537,0.0007898467,0.27553076,0.0028522022,0.18158108,-21,model_1/bnorm_32/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_32/Conv2D,46.3031754,0.29411661594974103
59,LEAKY_RELU,543,1478656.0,0.034262866,-0.0106730815,0.06959897,0.0012882287,0.113109045,-111,model_1/leaky_32/LeakyRelu,28.842806475,0.317321245056988
60,ADD,547,1478656.0,0.036368277,-0.003047707,0.15472682,0.0013329842,0.12697272,-101,model_1/add_10/add,32.378043600000005,0.28754252211779896
61,CONV_2D,551,739328.0,0.034128517,0.0004754164,0.19474147,0.001165033,0.11447215,-6,model_1/bnorm_34/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_34/Conv2D,29.190398249999998,0.2981736583464657
62,LEAKY_RELU,555,739328.0,0.01984865,-0.0025663055,0.040329877,0.00040109947,0.06513911,-107,model_1/leaky_34/LeakyRelu,16.61047305,0.3074568855466154
63,CONV_2D,559,1478656.0,0.07038505,0.0023238172,0.2857232,0.004959494,0.2385481,0,model_1/bnorm_35/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_35/Conv2D,60.8297655,0.29521792458799767
64,LEAKY_RELU,563,1478656.0,0.040262755,-0.00439473,0.08156688,0.0016411062,0.13081655,-105,model_1/leaky_35/LeakyRelu,33.35822025,0.30967464736926525
65,ADD,567,1478656.0,0.04951444,-0.004370273,0.124552615,0.0024708277,0.17022298,-100,model_1/add_11/add,43.4068599,0.29201357522434473
66,PAD,571,1517824.0,0.0,0.0,0.0,0.0,0.17022298,-100,model_1/zero_padding2d_4/Pad,43.4068599,0.0
67,CONV_2D,575,739328.0,0.039183754,-0.00018396827,0.14516118,0.0015354236,0.13251112,-9,model_1/bnorm_37/FusedBatchNormV3;model_1/conv_92/Conv2D;model_1/conv_37/Conv2D,33.790335600000006,0.29570711969073415
68,LEAKY_RELU,579,739328.0,0.022929396,-0.008155022,0.047938928,0.0005923715,0.076974,-108,model_1/leaky_37/LeakyRelu,19.62837,0.316193561486342
69,CONV_2D,583,369664.0,0.03329167,0.00031877065,0.16846965,0.0011085431,0.10941693,-1,model_1/bnorm_38/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_38/Conv2D,27.90131715,0.30429286294050195
