,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
0,CONV_2D,307,11829248.0,0.11527133,-0.0047463425,0.7784946,0.013349342,0.34186175,14,model_1/bnorm_0/FusedBatchNormV3;model_1/conv_2/Conv2D;model_1/conv_0/Conv2D,87.17474625,0.3379709856494464
1,LEAKY_RELU,310,11829248.0,0.089294605,-0.014402059,0.7063095,0.008198893,0.16995639,-99,model_1/leaky_0/LeakyRelu,43.33887945,0.5327704288735422
2,PAD,313,11868192.0,0.08915198,-0.014354798,0.7063095,0.00817199,0.16995639,-99,model_1/zero_padding2d_1/Pad,43.33887945,0.531895621751105
3,CONV_2D,316,5914624.0,0.14299875,0.0028236976,1.4918588,0.020466827,0.34743735,11,model_1/bnorm_1/FusedBatchNormV3;model_1/conv_9/Conv2D;model_1/conv_1/Conv2D,88.59652424999999,0.4117643615137763
4,LEAKY_RELU,319,5914624.0,0.1046124,0.001003931,1.4340749,0.0109547395,0.17741525,-101,model_1/leaky_1/LeakyRelu,45.240888749999996,0.5899430372490405
5,CONV_2D,322,2957312.0,0.20238268,0.0023508032,1.3194525,0.040995434,0.23609284,17,model_1/bnorm_2/FusedBatchNormV3;model_1/conv_2/Conv2D,60.2036742,0.857600307005888
6,LEAKY_RELU,325,2957312.0,0.15075962,-0.0029410063,1.2737467,0.022790251,0.11510627,-98,model_1/leaky_2/LeakyRelu,29.35209885,1.3115219795493345
7,CONV_2D,328,5914624.0,0.33250213,-0.0025911771,3.1453793,0.1107436,0.3133385,17,model_1/bnorm_3/FusedBatchNormV3;model_1/conv_9/Conv2D;model_1/conv_3/Conv2D,79.9013175,1.062051455754163
8,LEAKY_RELU,331,5914624.0,0.21863794,-0.018742621,2.8324063,0.048373904,0.15245178,-98,model_1/leaky_3/LeakyRelu,38.8752039,1.4426901602097506
9,ADD,334,5914624.0,0.24881338,-0.03167068,2.9204304,0.06307185,0.17718732,-99,model_1/add_1/add,45.1827666,1.4173762309895934
10,PAD,337,5953600.0,0.24801089,-0.031463344,2.9204304,0.062658936,0.17718732,-99,model_1/zero_padding2d_2/Pad,45.1827666,1.4127290269491322
11,CONV_2D,340,2957312.0,0.21984878,0.023889225,1.936085,0.049071256,0.23176177,-17,model_1/bnorm_5/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_5/Conv2D,59.09925135,0.95581048003842
12,LEAKY_RELU,343,2957312.0,0.15439913,0.023683764,1.7171841,0.024505632,0.14066996,-110,model_1/leaky_5/LeakyRelu,35.870839800000006,1.1128370844440154
13,CONV_2D,346,1478656.0,0.17315498,-0.02501149,1.3312341,0.030762678,0.10000286,-2,model_1/bnorm_6/FusedBatchNormV3;model_1/conv_9/Conv2D;model_1/conv_6/Conv2D,25.5007293,1.7538790850655424
14,LEAKY_RELU,349,1478656.0,0.0818742,-0.0032536814,1.1229519,0.0067893513,0.05566268,-105,model_1/leaky_6/LeakyRelu,14.1939834,1.4803009841953543
15,CONV_2D,352,2957312.0,0.12399277,0.0031915794,1.3570769,0.015636778,0.16095471,23,model_1/bnorm_7/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_7/Conv2D,41.04345105,0.7769086292981572
16,LEAKY_RELU,355,2957312.0,0.07470012,-0.009394935,1.2214221,0.005699147,0.075104356,-96,model_1/leaky_7/LeakyRelu,19.15161078,1.0051706589540816
17,ADD,358,2957312.0,0.17435087,-0.020857561,1.6826617,0.030937195,0.14088212,-109,model_1/add_2/add,35.9249406,1.2484886227932628
18,CONV_2D,361,1478656.0,0.2711379,0.04259742,1.9867977,0.075587384,0.13474818,21,model_1/bnorm_9/FusedBatchNormV3;model_1/conv_9/Conv2D,34.360785899999996,2.04033626848205
19,LEAKY_RELU,364,1478656.0,0.16504484,0.028735409,1.7206349,0.028177477,0.0640501,-97,model_1/leaky_9/LeakyRelu,16.3327755,2.620784067242116
20,CONV_2D,367,2957312.0,0.406196,-0.049350563,3.9301815,0.16860989,0.19881076,12,model_1/bnorm_10/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_10/Conv2D,50.6967438,2.065387941048427
21,LEAKY_RELU,370,2957312.0,0.22839697,-0.003402959,3.4357364,0.05299811,0.10044565,-100,model_1/leaky_10/LeakyRelu,25.61364075,2.29191790595349
22,ADD,373,2957312.0,0.28125116,-0.033197213,3.3102596,0.08085004,0.1420613,-107,model_1/add_3/add,36.2256315,2.0015402822601565
23,PAD,376,2996352.0,0.27943873,-0.032764684,3.3102596,0.07979664,0.1420613,-107,model_1/zero_padding2d_3/Pad,36.2256315,1.9884584375785281
24,CONV_2D,379,1478656.0,0.19630577,0.024016341,1.9427372,0.039433543,0.11369413,-12,model_1/bnorm_12/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_12/Conv2D,28.992003150000002,1.746605634200163
25,LEAKY_RELU,382,1478656.0,0.1345041,0.016414993,1.7816666,0.018493108,0.06697024,-108,model_1/leaky_12/LeakyRelu,17.0774112,2.0305939956525854
26,CONV_2D,385,739328.0,0.17235972,-0.026286049,1.6860757,0.03062264,0.09861107,10,model_1/bnorm_13/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_13/Conv2D,25.14582285,1.7745802475619517
27,LEAKY_RELU,388,739328.0,0.081817366,-0.0027507402,1.3275982,0.0067576924,0.050591428,-101,model_1/leaky_13/LeakyRelu,12.90081414,1.624883661147659
28,CONV_2D,391,1478656.0,0.07432185,-0.003366338,1.158876,0.005610935,0.08100396,16,model_1/bnorm_14/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_14/Conv2D,20.6560098,0.9247223795645567
29,LEAKY_RELU,394,1478656.0,0.04545074,-0.0070228395,0.9992313,0.002149189,0.039732944,-99,model_1/leaky_14/LeakyRelu,10.131900719999999,1.1667735070101997
30,ADD,397,1478656.0,0.14316995,0.0052752644,1.7843746,0.020674616,0.06938611,-104,model_1/add_4/add,17.69345805,2.0722692645610246
31,CONV_2D,400,739328.0,0.23616028,0.00558139,1.9297748,0.05624227,0.12591434,22,model_1/bnorm_16/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_16/Conv2D,32.1081567,1.883459244450212
32,LEAKY_RELU,403,739328.0,0.1313566,0.011102555,1.7004417,0.017563675,0.059398692,-96,model_1/leaky_16/LeakyRelu,15.14666646,2.231160509495255
33,CONV_2D,406,1478656.0,0.12475356,-0.005917306,1.6290592,0.015850455,0.07514547,31,model_1/bnorm_17/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_17/Conv2D,19.162094850000003,1.6753982660966715
34,LEAKY_RELU,409,1478656.0,0.06788745,0.0019623453,1.3578079,0.0047213202,0.032876473,-92,model_1/leaky_17/LeakyRelu,8.383500615,2.0900010656397106
35,ADD,412,1478656.0,0.157434,0.0075945854,1.7907914,0.02506229,0.06841985,-104,model_1/add_5/add,17.44706175,2.313813005125301
36,CONV_2D,415,739328.0,0.25340882,-0.011604584,2.1080525,0.06498429,0.106262624,25,model_1/bnorm_19/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_19/Conv2D,27.09696912,2.3989635713584336
37,LEAKY_RELU,418,739328.0,0.13291234,0.0073148124,1.7210331,0.017880773,0.048953094,-95,model_1/leaky_19/LeakyRelu,12.48303897,2.7315741804633795
38,CONV_2D,421,1478656.0,0.18719858,-0.020681776,3.1145475,0.0359497,0.12205581,2,model_1/bnorm_20/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_20/Conv2D,31.12423155,1.553421022218777
39,LEAKY_RELU,424,1478656.0,0.09514633,6.610616e-05,2.7249348,0.009184954,0.06584271,-104,model_1/leaky_20/LeakyRelu,16.78989105,1.455562288904381
40,ADD,427,1478656.0,0.18344107,0.004862616,2.7697594,0.03398907,0.076737285,-102,model_1/add_6/add,19.568007675,2.4024989760809112
41,CONV_2D,430,739328.0,0.25561097,-0.017862955,1.8659383,0.066292174,0.10643213,-4,model_1/bnorm_22/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_22/Conv2D,27.140193149999998,2.4191253760537093
42,LEAKY_RELU,433,739328.0,0.14019808,0.0060431734,1.6552746,0.019927425,0.060018633,-106,model_1/leaky_22/LeakyRelu,15.304751415,2.3520117771475384
43,CONV_2D,436,1478656.0,0.18054973,-0.030266136,1.966576,0.0340697,0.08715737,4,model_1/bnorm_23/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_23/Conv2D,22.22512935,2.117776076120134
44,LEAKY_RELU,439,1478656.0,0.0846185,-0.0045769215,1.6808895,0.0072695273,0.046681788,-103,model_1/leaky_23/LeakyRelu,11.90385594,1.8264408161680419
45,ADD,442,1478656.0,0.2036005,-0.0068982556,2.811174,0.041904464,0.076523654,-99,model_1/add_7/add,19.51353177,2.6750656554863137
46,CONV_2D,445,739328.0,0.25551143,-0.0025996706,1.9810563,0.06599889,0.09828523,-5,model_1/bnorm_25/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_25/Conv2D,25.062733650000002,2.6138463656202386
47,LEAKY_RELU,448,739328.0,0.13282368,0.010441872,1.6761938,0.017946707,0.055735882,-106,model_1/leaky_25/LeakyRelu,14.21264991,2.4035740591528842
48,CONV_2D,451,1478656.0,0.25756815,-0.045936357,2.683342,0.0694492,0.13806622,-10,model_1/bnorm_26/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_26/Conv2D,35.2068861,1.9087374248759252
49,LEAKY_RELU,454,1478656.0,0.113902345,-0.006481216,2.2243614,0.013149595,0.08075405,-108,model_1/leaky_26/LeakyRelu,20.59228275,1.4200115475853348
50,ADD,457,1478656.0,0.2361439,-0.012691406,2.9344099,0.05644928,0.105312854,-104,model_1/add_8/add,26.85477777,2.256045327605767
51,CONV_2D,460,739328.0,0.25383714,0.0017498428,2.0633826,0.065151066,0.096704915,2,model_1/bnorm_28/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_28/Conv2D,24.659753325,2.639442561356904
52,LEAKY_RELU,463,739328.0,0.13039134,0.010650459,1.7177571,0.017342515,0.052388076,-104,model_1/leaky_28/LeakyRelu,13.35895938,2.513758722246021
53,CONV_2D,466,1478656.0,0.27614534,-0.023197526,3.1999714,0.07815952,0.14964534,5,model_1/bnorm_29/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_29/Conv2D,38.1595617,1.8682188274018858
54,LEAKY_RELU,469,1478656.0,0.12583232,-0.0024147227,2.7620301,0.016042251,0.07925038,-103,model_1/leaky_29/LeakyRelu,20.208846899999998,1.598200640014493
55,ADD,472,1478656.0,0.27070764,-0.014373642,3.3494112,0.0741908,0.12690417,-103,model_1/add_9/add,32.36056335,2.1463430380796606
56,CONV_2D,475,739328.0,0.25646952,-0.0064016446,2.055147,0.06654953,0.124250144,-30,model_1/bnorm_31/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_31/Conv2D,31.68378672,2.0762306387360394
57,LEAKY_RELU,478,739328.0,0.1195945,0.0042756516,1.7740033,0.014464079,0.081206575,-113,model_1/leaky_31/LeakyRelu,20.707676625,1.480997067837786
58,CONV_2D,481,1478656.0,0.34582862,-0.026159586,4.5494857,0.1220699,0.20861624,-40,model_1/bnorm_32/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_32/Conv2D,53.197141200000004,1.6747738870276703
59,LEAKY_RELU,484,1478656.0,0.17368318,-0.002632532,3.8213546,0.030589985,0.14396179,-115,model_1/leaky_32/LeakyRelu,36.71025645,1.2149052087402796
60,ADD,487,1478656.0,0.3248934,-0.018010404,4.219173,0.10690131,0.16144413,-106,model_1/add_10/add,41.16825315,2.025206229604513
61,CONV_2D,490,739328.0,0.27697292,-0.0038618136,2.491131,0.077552594,0.15819347,-36,model_1/bnorm_34/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_34/Conv2D,40.33933485,1.7603929146589319
62,LEAKY_RELU,493,739328.0,0.14366461,0.0031614492,2.229255,0.020907529,0.10685941,-114,model_1/leaky_34/LeakyRelu,27.249149550000002,1.3531270684940482
63,CONV_2D,496,1478656.0,0.4093672,-0.01906127,5.0471044,0.17117718,0.27180153,12,model_1/bnorm_35/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_35/Conv2D,69.30939015,1.5221976132150394
64,LEAKY_RELU,499,1478656.0,0.21448912,-0.006099881,4.515404,0.04700418,0.13791125,-100,model_1/leaky_35/LeakyRelu,35.16736875,1.5720579294551764
65,ADD,502,1478656.0,0.38484177,-0.017127464,5.0440326,0.14997065,0.20226377,-106,model_1/add_11/add,51.57726135,1.9146307916637952
66,PAD,505,1517824.0,0.3798547,-0.016685484,5.0440326,0.14610061,0.20226377,-106,model_1/zero_padding2d_4/Pad,51.57726135,1.8897655028369822
67,CONV_2D,508,739328.0,0.264915,-0.0054529817,2.6490445,0.07142082,0.1453926,-23,model_1/bnorm_37/FusedBatchNormV3;model_1/conv_92/Conv2D;model_1/conv_37/Conv2D,37.075113,1.838104139577864
68,LEAKY_RELU,511,739328.0,0.13149852,0.00799,2.1981373,0.01755915,0.09164527,-111,model_1/leaky_37/LeakyRelu,23.36954385,1.4459114250451446
69,CONV_2D,514,369664.0,0.29176366,-0.036459375,2.2713675,0.08754789,0.107480004,-11,model_1/bnorm_38/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_38/Conv2D,27.407401020000002,2.752929995763769
70,LEAKY_RELU,517,369664.0,0.18870677,0.01765593,2.0965245,0.036474805,0.06309661,-108,model_1/leaky_38/LeakyRelu,16.08963555,3.0268469579264674
71,CONV_2D,520,739328.0,0.10913845,-0.0039823013,1.7190388,0.012161593,0.080947205,17,model_1/bnorm_39/FusedBatchNormV3;model_1/conv_92/Conv2D;model_1/conv_39/Conv2D,20.641537274999997,1.362364677113836
72,LEAKY_RELU,523,739328.0,0.052017257,-0.001566693,1.3657217,0.0027446821,0.039383203,-98,model_1/leaky_39/LeakyRelu,10.042716765,1.330255278755147
73,ADD,526,739328.0,0.14214979,0.020897206,2.2190475,0.020859107,0.09134809,-111,model_1/add_12/add,23.29376295,1.5810601217948008
74,CONV_2D,529,369664.0,0.258064,-0.059301782,2.1188357,0.071071215,0.11269693,-25,model_1/bnorm_41/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_41/Conv2D,28.73771715,2.3655644476138615
75,LEAKY_RELU,532,369664.0,0.14136171,-0.0018149553,1.9192525,0.02029051,0.07186107,-112,model_1/leaky_41/LeakyRelu,18.32457285,1.9822243284636598
76,CONV_2D,535,739328.0,0.14557348,-0.02474331,1.8735625,0.022446048,0.08005289,16,model_1/bnorm_42/FusedBatchNormV3;model_1/conv_92/Conv2D;model_1/conv_42/Conv2D,20.41348695,1.8715133465196063
77,LEAKY_RELU,538,739328.0,0.07042509,-0.0059976834,1.5490875,0.0051700366,0.039369706,-99,model_1/leaky_42/LeakyRelu,10.039275029999999,1.8263526417775786
78,ADD,541,739328.0,0.15735193,0.021806803,2.2318058,0.025546996,0.09235876,-108,model_1/add_13/add,23.5514838,1.7305805824408036
79,CONV_2D,544,369664.0,0.24242279,-0.06921017,1.9487331,0.064343244,0.11951924,6,model_1/bnorm_44/FusedBatchNormV3;model_1/conv_104/Conv2D;model_1/conv_44/Conv2D,30.4774062,2.1223336190443054
