,name,mAP
152,"(2, 10, 14)",68.84652904622416
153,"(29, 53, 72)",68.69030494509742
154,"(1, 39, 55)",68.63514995337191
155,"(41, 47, 53)",68.67561502215825
156,"(8, 19, 22)",68.64524600844815
157,"(1, 36, 66)",68.6141525386786
158,"(23, 69, 73)",68.76920040417444
159,"(46, 49, 56)",68.69002927257833
160,"(20, 48, 70)",68.68225589751427
161,"(6, 15, 28)",68.52942281174737
162,"(3, 23, 38)",68.36019816521801
163,"(1, 14, 23)",68.6161224546846
164,"(9, 40, 71)",68.38833531417211
165,"(0, 12, 47)",68.53282375678245
166,"(24, 47, 74)",68.59424991627476
167,"(20, 23, 41)",68.79101385666016
168,"(16, 35, 50)",68.70018226293926
169,"(34, 40, 41)",68.42374418493546
170,"(7, 40, 64)",68.34781867051018
171,"(13, 63, 72)",68.73147254268373
172,"(15, 50, 53)",68.73336008731727
173,"(8, 19, 46)",68.71702191590042
174,"(6, 43, 72)",68.5604986702561
175,"(43, 58, 71)",68.34554131482088
176,"(21, 37, 62)",68.62172424705079
177,"(7, 13, 52)",68.9469063847436
178,"(19, 64, 65)",68.72474983648114
179,"(30, 33, 38)",68.54503240698078
180,"(36, 69, 71)",68.73235154721533
181,"(11, 62, 65)",68.71712971610685
182,"(0, 33, 49)",68.72010158070646
183,"(5, 69, 70)",68.76101165798636
184,"(3, 26, 52)",68.50253218155319
185,"(15, 26, 60)",68.73059874798223
186,"(10, 46, 63)",68.64088738272469
187,"(50, 54, 67)",68.73049069204605
188,"(14, 21, 71)",68.77444296791435
189,"(8, 11, 47)",68.64527008890224
190,"(8, 29, 49)",68.58556683397154
191,"(1, 13, 31)",68.74876537110346
192,"(28, 33, 63)",68.53043842560145
193,"(22, 31, 40)",68.51069430934473
194,"(18, 34, 72)",68.75206106278884
195,"(5, 57, 70)",68.7138724375386
196,"(8, 54, 66)",68.6315931413764
197,"(18, 41, 60)",68.76847714658456
198,"(33, 37, 54)",68.73711978336769
199,"(9, 47, 53)",68.58657395428742
200,"(14, 67, 71)",68.6915653302827
201,"(11, 35, 73)",68.64562896378929
202,"(3, 14, 23)",68.50903436206424
203,"(59, 63, 64)",68.76014125639337
204,"(24, 25, 27)",68.46630072358766
205,"(10, 17, 18)",68.7634221877467
206,"(13, 48, 72)",68.60528343729997
207,"(23, 35, 65)",68.71940295089584
208,"(27, 38, 44)",68.40096733404597
209,"(32, 35, 43)",68.58349199924545
210,"(33, 35, 46)",68.61989196245915
211,"(9, 29, 32)",68.53211696507421
212,"(27, 41, 64)",68.76244022211387
213,"(6, 11, 32)",68.7090919963271
214,"(7, 30, 31)",68.69801362005485
215,"(31, 36, 53)",68.83033223007885
216,"(30, 47, 67)",68.60694756569207
217,"(10, 18, 66)",68.67132828863407
218,"(5, 31, 46)",68.64467179475426
219,"(31, 37, 44)",68.54153241249487
220,"(11, 50, 63)",68.7392990784039
221,"(36, 44, 55)",68.49678589778081
222,"(9, 45, 54)",68.33355788884491
223,"(22, 64, 67)",68.68676219574155
224,"(19, 25, 56)",68.43986324536078
225,"(6, 64, 72)",68.57305203105976
226,"(6, 22, 46)",68.60042648247159
227,"(10, 27, 68)",68.73943606311357
228,"(18, 25, 40)",68.33007784681918
229,"(15, 38, 60)",68.57207244657978
230,"(3, 34, 56)",68.44692640777403
231,"(31, 52, 60)",68.79593714265336
232,"(16, 33, 45)",68.44379801541479
233,"(7, 21, 30)",68.6401768296584
234,"(46, 55, 74)",68.68022762358434
235,"(59, 64, 67)",68.76059243176134
236,"(7, 16, 47)",68.67439139060536
237,"(25, 40, 65)",68.20171378836693
238,"(25, 37, 47)",68.41094211974702
239,"(8, 38, 71)",68.56233613712527
240,"(21, 62, 68)",68.6953259579774
241,"(1, 29, 35)",68.65313646165167
242,"(1, 34, 39)",68.59583968369071
243,"(9, 50, 58)",68.46765274604195
244,"(21, 23, 36)",68.69646943365613
245,"(18, 64, 68)",68.70766098183087
246,"(24, 33, 45)",68.34188194760212
247,"(1, 25, 47)",68.40894705551656
248,"(10, 61, 74)",68.76984949108046
249,"(30, 33, 40)",68.35183872473354
250,"(1, 41, 56)",68.54552221017354
251,"(19, 36, 71)",68.72365061650318
252,"(57, 58, 59)",68.597399342009
253,"(3, 42, 66)",68.37142136289145
254,"(16, 61, 64)",68.75990795893844
255,"(6, 26, 32)",68.57734701284055
256,"(3, 4, 40)",68.35350568688719
257,"(15, 39, 52)",68.76609852987175
258,"(4, 62, 64)",68.5807801909197
259,"(2, 12, 60)",68.83609111782725
260,"(10, 12, 36)",68.7851527142698
261,"(32, 36, 65)",68.67399201841744
262,"(23, 30, 47)",68.42632332374514
263,"(58, 62, 63)",68.45098756734423
264,"(6, 9, 67)",68.57845530813428
265,"(52, 68, 73)",68.75507157741254
266,"(5, 55, 73)",68.65896059680658
267,"(36, 46, 48)",68.5979104332541
268,"(10, 38, 73)",68.59828695832645
269,"(31, 61, 70)",68.73307316089313
270,"(0, 6, 14)",68.62804584907687
271,"(5, 19, 38)",68.62351293011464
272,"(40, 44, 65)",68.32437844360662
273,"(19, 34, 60)",68.65845709440674
