,0
0,68.7130651274363
1,68.35993479430543
2,68.600796911761
3,68.48431863452535
4,68.52933729335179
5,68.81636135882721
6,68.61708669863378
7,68.55705196873186
8,68.82830163876784
9,68.58862012742237
10,68.64113724947676
11,68.55479174297653
12,68.71505173138527
13,68.5041934271891
14,68.53578931572271
15,68.55208049422934
16,68.72932362610544
17,68.79332049669505
18,68.60146228011081
19,68.3706392892833
20,68.62584333639097
21,68.51419516443482
22,68.92080824224276
23,68.56918651773591
24,68.55908603200834
25,68.814107063489
26,68.63681748098836
27,68.58383240765417
28,68.81044590593646
29,68.84652904622416
30,68.67561502215825
31,68.64524600844815
32,68.6161224546846
33,68.38833531417211
34,68.70018226293926
35,68.5604986702561
36,68.62172424705079
37,68.72474983648114
38,68.76101165798636
39,68.50253218155319
40,68.7090919963271
41,68.76059243176134
42,68.46765274604195
43,68.70766098183087
44,68.40894705551656
45,68.57845530813428
46,68.75507157741254
47,68.65896059680658
48,68.73307316089313
49,68.62351293011464
50,68.66345518618806
51,68.75802466680751
52,68.79407719915484
53,68.53520978265382
54,68.53630637191746
55,68.70716760630192
56,68.38571759848519
57,68.77270756916822
58,68.82475894934298
59,68.61342159682827
60,68.81510988306195
61,68.53489256126505
62,68.7465355316505
63,68.65835183105723
64,68.5209737832228
65,68.6279070540256
66,68.6485978732476
67,68.74963012595255
68,68.71847326514758
69,68.71623652426678
70,68.62950095832869
71,68.6607462226538
72,68.60128815825821
73,68.7030880148645
74,68.50033763665222
75,68.75285126454057
76,68.59914482892371
77,68.8628891749766
78,68.54022976903245
79,68.86848807059671
80,68.67387964027307
81,68.72127068231988
82,68.51416483943943
83,68.7614436353847
84,68.53235641793816
85,68.5650375217914
86,68.5934865562207
87,68.81126159458137
88,68.61902793778218
89,68.48068954925311
90,68.35090722775313
91,68.70796609882903
92,68.83337031722712
93,68.39705465732246
94,68.70910646645434
95,68.41365061741185
96,68.80669918189848
97,68.33664861997669
98,68.77282438142859
99,68.2866691872844
100,68.75298749690928
101,68.5210968882075
102,68.69884288849825
103,68.62861961594298
104,68.74026643246911
105,68.66667496967918
106,68.31854425512128
107,68.79892192192543
108,68.76572289924943
109,68.65672129677637
110,68.69955377385594
111,68.78739635235787
112,68.42172486447424
113,68.75958026065734
114,68.36152016159251
115,68.76638109086576
116,68.53249699179277
117,68.5360053542712
118,68.74400421258937
119,68.56615918022871
120,68.3090946642139
121,68.52001076348826
122,68.60673740770973
123,68.47573028010554
124,68.5318886905293
125,68.56096047025439
126,68.66155125874334
127,68.73181607733142
128,68.71938822173405
129,68.73194217044838
130,68.55950925227309
131,68.56924502275147
132,68.55978757809198
133,68.35290596419149
134,68.6039117835765
135,68.70885331373204
136,68.50840049397799
137,68.06068530879281
138,68.81620252822655
139,68.79205993521546
140,68.31880397143837
141,68.63155915011751
142,68.31093517697357
143,68.52641832627783
144,68.69122033190068
145,68.63159586395714
146,68.55746152241039
147,68.5483061140421
148,68.77299294221439
149,68.74172833120099
150,68.04374183162668
151,68.36516632876393
152,68.63185382032167
153,68.57132764882483
154,68.53375064138304
155,68.40653891224918
156,68.77837050696193
