,name,mAP
0,(),68.77997726841986
1,"(0,)",68.74730479290976
2,"(0,1)",68.72349735224795
3,"(0,1,2)",68.6955259225945
4,"(0,1,2,3)",68.38081529747555
5,"(0,1,2,3,4)",68.36895101359602
6,"(0,1,2,3,4,5)",68.3360866137418
7,"(0,1,2,3,4,5,6)",68.38943901944724
8,"(0,1,2,3,4,5,6,7)",68.32885642837977
9,"(0,1,2,3,4,5,6,7,8)",68.31714749702785
10,"(0,1,2,3,4,5,6,7,8,9)",68.25266190029018
11,"(0,1,2,3,4,5,6,7,8,9,10)",68.2942636515332
12,"(0,1,2,3,4,5,6,7,8,9,10,11)",68.23828272353268
13,"(0,1,2,3,4,5,6,7,8,9,10,11,12)",68.21584690861744
14,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13)",68.24221875900515
15,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13,14)",68.25249021419545
16,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15)",68.26791079717182
17,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16)",68.26118506240017
18,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17)",68.26654124169472
19,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18)",68.27663316948187
20,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19)",68.23341543964258
21,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20)",68.17729505942319
22,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21)",68.20140216120862
23,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22)",68.1974276244455
24,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23)",68.12793285692756
25,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24)",68.07945890020405
26,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25)",67.78322120706576
27,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26)",67.77642142412039
28,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27)",67.80596186423983
29,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28)",67.69983767357124
30,"(0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29)",67.74383919170381
