,name,mAP
0,(),68.77997726841986
1,"(74,)",68.77997726841986
2,"(73,74)",68.73686974765859
3,"(72,73,74)",68.71198561347231
4,"(71,72,73,74)",68.65650760798997
5,"(70,71,72,73,74)",68.59189316967412
6,"(69,70,71,72,73,74)",68.62565528697377
7,"(68,69,70,71,72,73,74)",68.57229126547419
8,"(67,68,69,70,71,72,73,74)",68.53268690855504
9,"(66,67,68,69,70,71,72,73,74)",68.45910046674165
10,"(65,66,67,68,69,70,71,72,73,74)",68.48081281930183
11,"(64,65,66,67,68,69,70,71,72,73,74)",68.40198676097519
12,"(63,64,65,66,67,68,69,70,71,72,73,74)",68.4359287932036
13,"(62,63,64,65,66,67,68,69,70,71,72,73,74)",68.29875145429945
14,"(61,62,63,64,65,66,67,68,69,70,71,72,73,74)",68.423541683179
15,"(60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",68.35264962586824
16,"(59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",68.39621178217891
17,"(58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",68.22484654445284
18,"(57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",68.32569654302635
19,"(56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",68.1879716524316
20,"(55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",68.32910387124942
21,"(54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",68.3358378873525
22,"(53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",68.24121504210503
23,"(52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",68.28497676465095
24,"(51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",68.3581744138458
25,"(50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",68.21502056576558
26,"(49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",68.46544957372015
27,"(48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",68.37414286922188
28,"(47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",68.36619865566486
29,"(46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",68.34991129901134
30,"(45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",67.4730533818191
31,"(44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",67.21031391421364
32,"(43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",67.1036818534021
33,"(42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",67.06442034609466
34,"(41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",67.0370296724429
35,"(40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",66.45444670233067
36,"(39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",66.43925357203904
37,"(38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",66.41581253883079
38,"(37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",66.36964802774877
39,"(36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",66.15049000698096
40,"(35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",66.31615725569273
41,"(34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",66.26638136600944
42,"(33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",66.3379441264209
43,"(32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",66.11649506955801
44,"(31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",66.14560709030275
45,"(30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74)",66.0324443352915
