name,mAP,layers
0-0,68.74730479290976,"(0,)"
1-1,68.69116740861597,"(1,)"
2-2,68.84627041410191,"(2,)"
3-3,68.46867834686934,"(3,)"
4-4,68.7910602669713,"(4,)"
5-5,68.71784485868955,"(5,)"
6-6,68.67422431783993,"(6,)"
7-7,68.82202721525361,"(7,)"
8-8,68.69242042314741,"(8,)"
9-9,68.65613996972826,"(9,)"
10-10,68.79223847001657,"(10,)"
11-11,68.74762702914849,"(11,)"
12-12,68.77711502705395,"(12,)"
13-13,68.80695117521097,"(13,)"
14-14,68.74839390613926,"(14,)"
15-15,68.78952478708939,"(15,)"
16-16,68.74225265490381,"(16,)"
17-17,68.82439641210084,"(17,)"
18-18,68.77984337349515,"(18,)"
19-19,68.77366057421568,"(19,)"
20-20,68.72146295925162,"(20,)"
21-21,68.75136577917004,"(21,)"
22-22,68.74860125851214,"(22,)"
23-23,68.80727127671831,"(23,)"
24-24,68.75616464256386,"(24,)"
25-25,68.51623724366108,"(25,)"
26-26,68.63933122479744,"(26,)"
27-27,68.78765894736894,"(27,)"
28-28,68.54239489545729,"(28,)"
29-29,68.75536176295958,"(29,)"
30-30,68.54700004185389,"(30,)"
31-31,68.77769620533671,"(31,)"
32-32,68.7458661235328,"(32,)"
33-33,68.78002112834352,"(33,)"
34-34,68.74730106306528,"(34,)"
35-35,68.74777257691696,"(35,)"
36-36,68.84839353266383,"(36,)"
37-37,68.81773624489995,"(37,)"
38-38,68.65600168481816,"(38,)"
39-39,68.72808250766987,"(39,)"
40-40,68.56923909383579,"(40,)"
41-41,68.80495576665118,"(41,)"
42-42,68.64402430192563,"(42,)"
43-43,68.59944228632251,"(43,)"
44-44,68.54919408472843,"(44,)"
45-45,68.37640457129964,"(45,)"
46-46,68.71621776628538,"(46,)"
47-47,68.56870370549387,"(47,)"
48-48,68.77080820318045,"(48,)"
49-49,68.85371235892126,"(49,)"
50-50,68.65864910677104,"(50,)"
51-51,68.79900092048499,"(51,)"
52-52,68.79322423934677,"(52,)"
53-53,68.81185427624192,"(53,)"
54-54,68.79082664623854,"(54,)"
55-55,68.73426779564984,"(55,)"
56-56,68.71261592022802,"(56,)"
57-57,68.83036481264037,"(57,)"
58-58,68.5789598191388,"(58,)"
59-59,68.7274441847946,"(59,)"
60-60,68.74981859860026,"(60,)"
61-61,68.79423255089951,"(61,)"
62-62,68.73118676696322,"(62,)"
63-63,68.76190743110253,"(63,)"
64-64,68.75886190178147,"(64,)"
65-65,68.74642366822428,"(65,)"
66-66,68.69872365231853,"(66,)"
67-67,68.77261730795676,"(67,)"
68-68,68.76875101157619,"(68,)"
69-69,68.79544243870018,"(69,)"
70-70,68.75303709359838,"(70,)"
71-71,68.6698318977356,"(71,)"
72-72,68.7803897062336,"(72,)"
73-73,68.73686974765859,"(73,)"
74-74,68.77997726841986,"(74,)"
0-1,68.72349735224795,"(0, 1)"
1-2,68.69644718673571,"(1, 2)"
2-3,68.4896805219911,"(2, 3)"
3-4,68.51478536594226,"(3, 4)"
4-5,68.78323493728506,"(4, 5)"
5-6,68.63760985715173,"(5, 6)"
6-7,68.58340777634247,"(6, 7)"
7-8,68.77447090990667,"(7, 8)"
8-9,68.61389318072257,"(8, 9)"
9-10,68.63602844693746,"(9, 10)"
10-11,68.70990916968302,"(10, 11)"
11-12,68.74428734741616,"(11, 12)"
12-13,68.81585547431969,"(12, 13)"
13-14,68.7623885684678,"(13, 14)"
14-15,68.71540429294727,"(14, 15)"
15-16,68.81387819282449,"(15, 16)"
16-17,68.8109205343913,"(16, 17)"
17-18,68.8314326792949,"(17, 18)"
18-19,68.7844613871528,"(18, 19)"
19-20,68.80671881916909,"(19, 20)"
20-21,68.71091180749255,"(20, 21)"
21-22,68.73245933123175,"(21, 22)"
22-23,68.7437411116931,"(22, 23)"
23-24,68.79478545259798,"(23, 24)"
24-25,68.55269166110214,"(24, 25)"
25-26,68.54914348708053,"(25, 26)"
26-27,68.67855228908954,"(26, 27)"
27-28,68.5793881702691,"(27, 28)"
28-29,68.50117824179291,"(28, 29)"
29-30,68.53894117556173,"(29, 30)"
30-31,68.63519753367379,"(30, 31)"
31-32,68.75718373837898,"(31, 32)"
32-33,68.75118052890083,"(32, 33)"
33-34,68.77250146260748,"(33, 34)"
34-35,68.65231005562522,"(34, 35)"
35-36,68.76293149480898,"(35, 36)"
36-37,68.69875204011616,"(36, 37)"
37-38,68.62772567245422,"(37, 38)"
38-39,68.59474771005857,"(38, 39)"
39-40,68.52608914758356,"(39, 40)"
40-41,68.46676227123656,"(40, 41)"
41-42,68.60145847209313,"(41, 42)"
42-43,68.48544072373126,"(42, 43)"
43-44,68.36730551555992,"(43, 44)"
44-45,68.09731983492172,"(44, 45)"
45-46,68.22222965051951,"(45, 46)"
46-47,68.61768106813312,"(46, 47)"
47-48,68.58261857579694,"(47, 48)"
48-49,68.89243571826569,"(48, 49)"
49-50,68.90543223054314,"(49, 50)"
50-51,68.66772633367344,"(50, 51)"
51-52,68.79888986225059,"(51, 52)"
52-53,68.74705001568098,"(52, 53)"
53-54,68.80434449122806,"(53, 54)"
54-55,68.71521118599556,"(54, 55)"
55-56,68.63538218318233,"(55, 56)"
