name,mAP,layers
56-57,68.73997190238343,"(56, 57)"
57-58,68.6292237068668,"(57, 58)"
58-59,68.54731577518683,"(58, 59)"
59-60,68.76861217841923,"(59, 60)"
60-61,68.79215376076658,"(60, 61)"
61-62,68.68807483120037,"(61, 62)"
62-63,68.6475114535082,"(62, 63)"
63-64,68.7255378130449,"(63, 64)"
64-65,68.69309447959114,"(64, 65)"
65-66,68.66911804734991,"(65, 66)"
66-67,68.67888177933456,"(66, 67)"
67-68,68.76022791573735,"(67, 68)"
68-69,68.74880701907703,"(68, 69)"
69-70,68.76754499050483,"(69, 70)"
70-71,68.70219516838326,"(70, 71)"
71-72,68.72062360862434,"(71, 72)"
72-73,68.71198561347231,"(72, 73)"
73-74,68.73686974765859,"(73, 74)"
